iter	Logloss
283	0.3393892047
284	0.33917931
285	0.3389209846
286	0.3387323501
287	0.3385027405
288	0.3382492371
289	0.3378870019
290	0.3377154954
291	0.3373248756
292	0.3371246509
293	0.3369822179
294	0.3363984416
295	0.3362346401
296	0.3359829774
297	0.3356019998
298	0.3351413718
299	0.3349402172
300	0.3347231534
301	0.3344442854
302	0.3339960317
303	0.3336914494
304	0.333513733
305	0.3332435035
306	0.3331165318
307	0.3329805349
308	0.3327965617
309	0.3325806699
310	0.3321256976
311	0.3319134273
312	0.3317083503
313	0.3314956813
314	0.3313807979
315	0.3311540677
316	0.3308855755
317	0.3305537528
318	0.3303017966
319	0.3300115466
320	0.3297726062
321	0.3294701491
322	0.3293005847
323	0.3290554985
324	0.3287697054
325	0.3285772031
326	0.328334778
327	0.3280786919
328	0.327910923
329	0.3277109132
330	0.3274985608
331	0.3273690083
332	0.3272026683
333	0.3270381865
334	0.3269215866
335	0.326652573
336	0.3266229322
337	0.3264426214
338	0.3262543488
339	0.3258282066
340	0.3256506745
341	0.3253811848
342	0.3251062665
343	0.3248857173
344	0.3246735788
345	0.3243649951
346	0.3241197738
347	0.3239540164
348	0.3234947437
349	0.3233530301
350	0.3231190978
351	0.3229658351
352	0.3224060246
353	0.3223146317
354	0.3219556794
355	0.3218741564
356	0.321680329
357	0.3215521759
358	0.321333035
359	0.3211424825
360	0.3207078385
361	0.3203760944
362	0.3201988085
363	0.3200907294
364	0.319887344
365	0.3194886421
366	0.3192158293
367	0.3190999056
368	0.3190085819
369	0.3187129936
370	0.3185361182
371	0.3183961705
372	0.3182878014
373	0.3181491479
374	0.3179202243
375	0.3177737368
376	0.3175089186
377	0.317246572
378	0.3171051624
379	0.3168885834
380	0.316612294
381	0.3165347108
382	0.3163467717
383	0.3162873835
384	0.3160586728
385	0.3158978275
386	0.3158313073
387	0.3155759152
388	0.3153817529
389	0.3152338235
390	0.3150017624
391	0.3147508301
392	0.3145458202
393	0.314398415
394	0.3141124074
395	0.3139232481
396	0.313562566
397	0.3132572792
398	0.3131851866
399	0.3128402965
400	0.3125902256
401	0.3123508134
402	0.3122303855
403	0.311927861
404	0.3117404858
405	0.3116661705
406	0.3114387062
407	0.3111073951
408	0.3108163507
409	0.3106427628
410	0.3105371272
411	0.3102835416
412	0.3101318513
413	0.3099543115
414	0.3097280705
415	0.309574811
416	0.3092092051
417	0.3089634219
418	0.3087675518
419	0.3086530672
420	0.3084422435
421	0.3080974306
422	0.3077931271
423	0.3076796672
424	0.3074155515
425	0.3073039195
426	0.307077417
427	0.3069522436
428	0.3068691603
429	0.3066566993
430	0.3063909099
431	0.3062736596
432	0.3061386512
433	0.3059179102
434	0.3056745112
435	0.3055358067
436	0.3053104311
437	0.3049993281
438	0.304815851
439	0.3045975207
440	0.3043741481
441	0.3041842015
442	0.3039854541
443	0.3037642276
444	0.3037446057
445	0.3034558524
446	0.3033738117
447	0.3032237833
448	0.3029721009
449	0.3028829476
450	0.3025960531
451	0.302372724
452	0.3022349384
453	0.3020544539
454	0.301865331
455	0.3017133935
456	0.3015379817
457	0.3013965587
458	0.301194842
459	0.3008019173
460	0.3006625494
461	0.3004249894
462	0.3003378193
463	0.3000222603
464	0.29995722
465	0.2995711253
466	0.299183963
467	0.2990011532
468	0.2986843539
469	0.2986403885
470	0.2984984834
471	0.2981187703
472	0.2980342574
473	0.2978648472
474	0.2976430921
475	0.2974855078
476	0.2972312342
477	0.2968984565
478	0.2968093281
479	0.2965863386
480	0.2962748226
481	0.2960425439
482	0.2958169118
483	0.2955765661
484	0.2953240817
485	0.2950484124
486	0.2947722595
487	0.294621214
488	0.2941916508
489	0.2940595784
490	0.2939483657
491	0.2938758405
492	0.2935521831
493	0.2932041391
494	0.2931183591
495	0.2928754426
496	0.2927287417
497	0.2924618463
498	0.2921645991
499	0.2919884464
500	0.291793313
501	0.2916210636
502	0.2914053658
503	0.2911435537
504	0.2910408179
505	0.2908889883
506	0.2906764953
507	0.2904589746
508	0.2902525383
509	0.2900580034
510	0.2899624656
511	0.2898845917
512	0.289622929
513	0.2893768888
514	0.2891551544
515	0.2890712581
516	0.2888156948
517	0.2886961226
518	0.2885406856
519	0.2884709694
520	0.2883544117
521	0.2880850066
522	0.2878472463
523	0.2877677882
524	0.2875542986
525	0.2872481036
526	0.2870280745
527	0.2867343071
528	0.286607971
529	0.2864282477
530	0.2861665603
531	0.2860484392
532	0.2856796518
533	0.2856036851
534	0.2854576062
535	0.285347378
536	0.2852036797
537	0.2850195474
538	0.2847831699
539	0.2846727704
540	0.2845353792
541	0.2844341696
542	0.2842445033
543	0.2840020056
544	0.2838007438
545	0.2836390505
546	0.2833905777
547	0.2832308785
548	0.2830521178
549	0.2829560165
550	0.2829046518
551	0.2826702834
552	0.2824586881
553	0.2820993907
554	0.2818046616
555	0.281701863
556	0.2813300646
557	0.2811635471
558	0.2809589347
559	0.280854195
560	0.2806460898
561	0.2804108822
562	0.2802887972
563	0.2800696783
564	0.2798456821
565	0.2797786037
566	0.2796868465
567	0.2794245953
568	0.2792202787
569	0.2790472082
570	0.2788889868
571	0.2786033636
572	0.2784903561
573	0.2782307483
574	0.2779155886
575	0.2776648356
576	0.2774620005
577	0.2772645583
578	0.2770598517
579	0.2768451414
580	0.2766829229
581	0.2763257307
582	0.2758050305
583	0.275516325
584	0.2753791713
585	0.2751748709
586	0.2750818291
587	0.2748613063
588	0.2747824386
589	0.2745504456
590	0.2745031895
591	0.2744283524
592	0.2742431592
593	0.2741217817
594	0.2739762481
595	0.2737564854
596	0.2736282082
597	0.2735580354
598	0.2733858191
599	0.2731556064
600	0.2730255611
601	0.2728356812
602	0.272628284
603	0.2725259403
604	0.2722561679
605	0.2720504988
606	0.2719889479
607	0.2718805011
608	0.2717216262
609	0.2715087142
610	0.2712476966
611	0.2710370455
612	0.2709006052
613	0.2707065411
614	0.2705504719
615	0.27034836
616	0.2702177313
617	0.2701090229
618	0.2698112422
619	0.269690038
620	0.2694402178
621	0.2692932639
622	0.2691201214
623	0.2690144142
624	0.2688972922
625	0.2687251108
626	0.2685652249
627	0.2684630339
628	0.2683025324
629	0.2682386168
630	0.268141816
631	0.2680244793
632	0.2678746769
633	0.2676783274
634	0.267566334
635	0.2674337077
636	0.2672118713
637	0.2669993316
638	0.2668746242
639	0.2667378587
640	0.2666510206
641	0.2664321847
642	0.2663306066
643	0.2662526173
644	0.2659696024
645	0.2658641187
646	0.265517621
647	0.2653146605
648	0.265151239
649	0.265045784
650	0.2648232605
651	0.2646357531
652	0.2645095398
653	0.2642381771
654	0.2640597355
655	0.2638002201
656	0.263590893
657	0.2634233598
658	0.2632901403
659	0.2631041197
660	0.2629733138
661	0.2627759111
662	0.2622756702
663	0.2620681734
664	0.2619440622
665	0.2617889905
666	0.2615837437
667	0.261393922
668	0.2612043441
669	0.2609076913
670	0.2607272458
671	0.2603750532
672	0.2602586926
673	0.260199755
674	0.2600350255
675	0.2599340989
676	0.2597680336
677	0.259558648
678	0.2593606939
679	0.2590651573
680	0.2589448946
681	0.2587334775
682	0.2585909426
683	0.2585368781
684	0.2583466301
685	0.2581333382
686	0.2580501569
687	0.2578279899
688	0.2576331081
689	0.2575094827
690	0.2573081066
691	0.2570815356
692	0.2569576734
693	0.2568656703
694	0.256625344
695	0.2565340126
696	0.2563220845
697	0.2562473409
698	0.2560102052
699	0.2558812669
