iter	Logloss
0	0.6869037478
1	0.6804565256
2	0.6747880861
3	0.6686826685
4	0.6628588768
5	0.6568556372
6	0.6515064335
7	0.6463237759
8	0.6425126919
9	0.63789546
10	0.6333801654
11	0.6275056939
12	0.6230777146
13	0.6188124503
14	0.6148478405
15	0.6101530659
16	0.6058037676
17	0.6019752105
18	0.597838065
19	0.5947421418
20	0.5909962378
21	0.5863442435
22	0.5826344182
23	0.5792718561
24	0.5753303486
25	0.5715550775
26	0.5679165642
27	0.56472617
28	0.5606342249
29	0.5579507153
30	0.554582274
31	0.5514891019
32	0.5480948638
33	0.5454093052
34	0.542417815
35	0.5396607266
36	0.5370731441
37	0.5343974559
38	0.5314297966
39	0.529030461
40	0.5269803286
41	0.5250346341
42	0.5232606638
43	0.520480028
44	0.5178216747
45	0.514969679
46	0.5118865561
47	0.5096089916
48	0.5072645847
49	0.5054399045
50	0.5033525869
51	0.5013453556
52	0.4990277352
53	0.4968554295
54	0.4947195597
55	0.4925967961
56	0.4902509748
57	0.4887536298
58	0.4860924077
59	0.484343573
60	0.4823545273
61	0.4808628407
62	0.4789833082
63	0.4772398565
64	0.4757618138
65	0.4733497773
66	0.4714055677
67	0.4701243929
68	0.4688446825
69	0.4672422948
70	0.4661392402
71	0.4644489138
72	0.4627529716
73	0.4609887182
74	0.4595396066
75	0.4580409757
76	0.4565197556
77	0.4550974958
78	0.4532674555
79	0.4515767151
80	0.450786229
81	0.4496382956
82	0.4484367662
83	0.4468180502
84	0.4453289158
85	0.4447206445
86	0.4434005011
87	0.4421705865
88	0.4412643259
89	0.4402231718
90	0.4392087535
91	0.4378070253
92	0.4368509826
93	0.435843204
94	0.4345227287
95	0.4332819878
96	0.4322593831
97	0.4313372507
98	0.4302092506
99	0.4289742473
100	0.4281662833
101	0.4272303742
102	0.4263698744
103	0.4253979459
104	0.4249354743
105	0.4238906582
106	0.4233531328
107	0.4222847385
108	0.421178685
109	0.4201868501
110	0.4189514784
111	0.4177245192
112	0.4169603919
113	0.4161458503
114	0.4152047304
115	0.414564201
116	0.4137382589
117	0.4131707859
118	0.4123874299
119	0.4113440064
120	0.4109584859
121	0.4099899629
122	0.4093702463
123	0.4091550878
124	0.4084806948
125	0.4074097124
126	0.4069244998
127	0.4061342425
128	0.4054346464
129	0.4048628108
130	0.4044174384
131	0.4040728023
132	0.4036431917
133	0.4026545205
134	0.4018120167
135	0.4014022469
136	0.4005257555
137	0.3999379434
138	0.3992701935
139	0.3985411635
140	0.3981077736
141	0.3977642475
142	0.3972696
143	0.3964874182
144	0.3958431377
145	0.3951330512
146	0.3944735239
147	0.3939137497
148	0.3933452173
149	0.3924378525
150	0.3917654616
151	0.3913056258
152	0.390835474
153	0.3902952674
154	0.389950113
155	0.389149992
156	0.3884040204
157	0.3880537216
158	0.3877100874
159	0.387010302
160	0.3864876188
161	0.3862548603
162	0.3859930589
163	0.3851369949
164	0.384592199
165	0.3840784235
166	0.3838739478
167	0.3835732101
168	0.383375506
169	0.383129611
170	0.3824790818
171	0.3820360868
172	0.3815728755
173	0.3812878868
174	0.3804466988
175	0.3799178104
176	0.3795714831
177	0.3787371783
178	0.378337168
179	0.3779410162
180	0.3774122694
181	0.3768166699
182	0.3764588822
183	0.3760648872
184	0.3754649279
185	0.3750860569
186	0.3745141969
187	0.3743855826
188	0.3740052815
189	0.3734363276
190	0.3725813461
191	0.3721640394
192	0.3718277661
193	0.3715908729
194	0.3712832556
195	0.3707221996
196	0.3703516829
197	0.3699807457
198	0.3697396863
199	0.3689908454
200	0.3678067453
201	0.3674129099
202	0.3672388659
203	0.3668724228
204	0.366269705
205	0.3658409692
206	0.3652765405
207	0.3648240245
208	0.3642524448
209	0.3635754963
210	0.3633040483
211	0.3629169193
212	0.362466244
213	0.3617584883
214	0.3616136149
215	0.3610104534
216	0.3607322769
217	0.3604988831
218	0.3599260139
219	0.3595979232
220	0.3593437362
221	0.3586101988
222	0.3582074926
223	0.3578871087
224	0.3575662224
225	0.3571931014
226	0.3569051902
227	0.3567225329
228	0.3561890215
229	0.3560074164
230	0.3557173441
231	0.3555023583
232	0.3552336447
233	0.3549567643
234	0.3546678309
235	0.3543484823
236	0.3537908976
237	0.3534084259
238	0.3531231089
239	0.3529247761
240	0.3526258563
241	0.3521212658
242	0.3517337853
243	0.3514406856
244	0.35115907
245	0.3510006627
246	0.3505669504
247	0.3500463634
248	0.3495543914
249	0.3493936199
250	0.3490637816
251	0.348851057
252	0.3486006696
253	0.3484985753
254	0.3480812439
255	0.3478486624
256	0.3473184786
257	0.347026032
258	0.3466934002
259	0.3463555078
260	0.3459308675
261	0.3454122921
262	0.3449151425
263	0.3446819666
264	0.3444404523
265	0.3441556818
266	0.3439169303
267	0.3433686249
268	0.3432310509
269	0.3429582143
270	0.3428178593
271	0.3425958515
272	0.3421133644
273	0.3417923312
274	0.3415080741
275	0.3414377439
276	0.3411209129
277	0.3409286849
278	0.3406694782
279	0.3402830429
280	0.340143971
281	0.3398224866
282	0.3395672725
